index,task,profile,q,seed,status,exit_code,duration_seconds,gpu,result_dir,plotting_dir
33,simplicial__q08__seed03,simplicial,8,3,success,0,266.12065625190735,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q08/seed03,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q08/seed03
34,simplicial__q08__seed04,simplicial,8,4,success,0,266.7456748485565,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q08/seed04,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q08/seed04
35,simplicial__q08__seed05,simplicial,8,5,success,0,265.5346853733063,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q08/seed05,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q08/seed05
36,simplicial__q08__seed06,simplicial,8,6,success,0,265.8174831867218,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q08/seed06,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q08/seed06
37,simplicial__q08__seed07,simplicial,8,7,success,0,263.982408285141,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q08/seed07,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q08/seed07
38,simplicial__q08__seed08,simplicial,8,8,success,0,264.77176809310913,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q08/seed08,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q08/seed08
39,simplicial__q08__seed09,simplicial,8,9,success,0,264.4170677661896,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q08/seed09,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q08/seed09
40,simplicial__q16__seed00,simplicial,16,0,success,0,168.46689581871033,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q16/seed00,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q16/seed00
41,simplicial__q16__seed01,simplicial,16,1,success,0,176.31871271133423,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q16/seed01,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q16/seed01
42,simplicial__q16__seed02,simplicial,16,2,success,0,166.58449983596802,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q16/seed02,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q16/seed02
43,simplicial__q16__seed03,simplicial,16,3,success,0,165.43613934516907,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q16/seed03,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q16/seed03
44,simplicial__q16__seed04,simplicial,16,4,success,0,169.30777072906494,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q16/seed04,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q16/seed04
45,simplicial__q16__seed05,simplicial,16,5,success,0,172.0400698184967,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q16/seed05,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q16/seed05
46,simplicial__q16__seed06,simplicial,16,6,success,0,164.89142847061157,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q16/seed06,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q16/seed06
47,simplicial__q16__seed07,simplicial,16,7,success,0,165.5997598171234,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q16/seed07,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q16/seed07
48,simplicial__q16__seed08,simplicial,16,8,success,0,166.30478596687317,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q16/seed08,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q16/seed08
49,simplicial__q16__seed09,simplicial,16,9,success,0,167.0746250152588,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q16/seed09,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q16/seed09
50,simplicial__q32__seed00,simplicial,32,0,success,0,146.07884788513184,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q32/seed00,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q32/seed00
51,simplicial__q32__seed01,simplicial,32,1,success,0,147.96100234985352,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q32/seed01,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q32/seed01
52,simplicial__q32__seed02,simplicial,32,2,success,0,148.38384580612183,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q32/seed02,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q32/seed02
53,simplicial__q32__seed03,simplicial,32,3,success,0,148.06458806991577,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q32/seed03,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q32/seed03
54,simplicial__q32__seed04,simplicial,32,4,success,0,145.15455675125122,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q32/seed04,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q32/seed04
55,simplicial__q32__seed05,simplicial,32,5,success,0,144.87958407402039,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q32/seed05,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q32/seed05
56,simplicial__q32__seed06,simplicial,32,6,success,0,143.0093595981598,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q32/seed06,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q32/seed06
57,simplicial__q32__seed07,simplicial,32,7,success,0,142.83188724517822,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q32/seed07,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q32/seed07
58,simplicial__q32__seed08,simplicial,32,8,success,0,151.2874629497528,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q32/seed08,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q32/seed08
59,simplicial__q32__seed09,simplicial,32,9,success,0,145.25636625289917,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q32/seed09,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q32/seed09
60,hypergraph__q01__seed00,hypergraph,1,0,success,0,656.7510924339294,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q01/seed00,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q01/seed00
61,hypergraph__q01__seed01,hypergraph,1,1,success,0,657.5410618782043,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q01/seed01,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q01/seed01
62,hypergraph__q01__seed02,hypergraph,1,2,success,0,656.8110587596893,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q01/seed02,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q01/seed02
63,hypergraph__q01__seed03,hypergraph,1,3,success,0,655.1626312732697,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q01/seed03,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q01/seed03
64,hypergraph__q01__seed04,hypergraph,1,4,success,0,657.2939958572388,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q01/seed04,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q01/seed04
65,hypergraph__q01__seed05,hypergraph,1,5,success,0,655.0225887298584,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q01/seed05,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q01/seed05
66,hypergraph__q01__seed06,hypergraph,1,6,success,0,655.326826095581,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q01/seed06,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q01/seed06
67,hypergraph__q01__seed07,hypergraph,1,7,success,0,654.3996496200562,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q01/seed07,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q01/seed07
68,hypergraph__q01__seed08,hypergraph,1,8,success,0,650.5045039653778,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q01/seed08,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q01/seed08
69,hypergraph__q01__seed09,hypergraph,1,9,success,0,648.49724817276,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q01/seed09,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q01/seed09
70,hypergraph__q02__seed00,hypergraph,2,0,success,0,344.36195063591003,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q02/seed00,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q02/seed00
71,hypergraph__q02__seed01,hypergraph,2,1,success,0,342.3189027309418,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q02/seed01,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q02/seed01
72,hypergraph__q02__seed02,hypergraph,2,2,success,0,341.34586238861084,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q02/seed02,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q02/seed02
73,hypergraph__q02__seed03,hypergraph,2,3,success,0,342.8525195121765,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q02/seed03,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q02/seed03
74,hypergraph__q02__seed04,hypergraph,2,4,success,0,344.7440483570099,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q02/seed04,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q02/seed04
75,hypergraph__q02__seed05,hypergraph,2,5,success,0,342.7932653427124,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q02/seed05,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q02/seed05
76,hypergraph__q02__seed06,hypergraph,2,6,success,0,341.0327274799347,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q02/seed06,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q02/seed06
77,hypergraph__q02__seed07,hypergraph,2,7,success,0,341.20158791542053,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q02/seed07,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q02/seed07
78,hypergraph__q02__seed08,hypergraph,2,8,success,0,343.1300356388092,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q02/seed08,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q02/seed08
79,hypergraph__q02__seed09,hypergraph,2,9,success,0,341.388543844223,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q02/seed09,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q02/seed09
80,hypergraph__q04__seed00,hypergraph,4,0,success,0,196.29041194915771,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q04/seed00,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q04/seed00
81,hypergraph__q04__seed01,hypergraph,4,1,success,0,191.50945353507996,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q04/seed01,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q04/seed01
82,hypergraph__q04__seed02,hypergraph,4,2,success,0,189.05801272392273,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q04/seed02,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q04/seed02
83,hypergraph__q04__seed03,hypergraph,4,3,success,0,188.07191801071167,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q04/seed03,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q04/seed03
84,hypergraph__q04__seed04,hypergraph,4,4,success,0,190.5736904144287,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q04/seed04,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q04/seed04
85,hypergraph__q04__seed05,hypergraph,4,5,success,0,195.24380254745483,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/hypergraph/q04/seed05,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/hypergraph/q04/seed05
